shipping_id,warehouse_id,shipping_partner,shipping_cost,delivery_days,delivery_status
147,1,Delhivery,270,4,Delivered
148,5,Blue Dart,295,1,Delivered
149,5,DTDC,287,5,Delivered
150,5,Blue Dart,105,1,Delivered
151,5,Ekart,298,4,Delivered
152,2,Ekart,243,3,Delivered
153,4,Blue Dart,110,4,Delivered
154,3,Ekart,151,2,Delivered
155,3,Ekart,107,6,Delivered
156,5,Ekart,99,7,Delivered
157,4,DTDC,186,7,Delivered
158,5,Delhivery,52,4,Delivered
159,1,Blue Dart,176,7,Delivered
160,3,Ekart,114,7,Delivered
161,2,Delhivery,223,7,Delivered
162,5,Blue Dart,239,2,Delivered
163,1,DTDC,238,4,Delivered
164,5,Delhivery,46,6,Delivered
165,5,DTDC,155,6,Delivered
166,5,Blue Dart,139,3,Delivered
167,1,Blue Dart,128,6,Delivered
168,4,Delhivery,259,3,Delivered
169,2,Blue Dart,170,1,Delivered
170,2,Delhivery,118,3,Delivered
171,5,Ekart,291,7,Delivered
172,3,Delhivery,202,5,Delivered
173,5,Delhivery,298,2,Delivered
174,5,DTDC,87,3,Delivered
175,3,Ekart,224,3,Delivered
176,5,DTDC,44,1,Delivered
177,4,Blue Dart,164,1,Delivered
178,4,Delhivery,237,3,Delivered
179,1,Ekart,300,4,Delivered
180,3,Blue Dart,204,5,Delivered
181,2,Delhivery,73,2,Delivered
182,4,Delhivery,145,5,Delivered
183,1,Blue Dart,52,4,Delivered
184,1,Delhivery,77,1,Delivered
185,5,Delhivery,156,3,Delivered
186,4,DTDC,261,3,Delivered
187,1,Delhivery,72,7,Delivered
188,1,Delhivery,223,5,Delivered
189,3,Delhivery,184,7,Delivered
190,4,DTDC,55,4,Delivered
191,2,Blue Dart,240,7,Delivered
192,3,Blue Dart,192,6,Delivered
193,1,Blue Dart,103,1,Delivered
194,5,DTDC,83,3,Delivered
195,2,DTDC,112,2,Delivered
196,5,Ekart,139,1,Delivered
197,1,DTDC,77,3,Delivered
198,3,Delhivery,141,6,Delivered
199,3,Ekart,105,6,Delivered
200,1,Ekart,75,2,Delivered
201,4,Ekart,196,6,Delivered
202,5,Ekart,201,4,Delivered
203,3,Blue Dart,153,6,Delivered
204,3,Ekart,108,6,Delivered
205,4,DTDC,268,3,Delivered
206,4,Delhivery,129,6,Delivered
207,3,Blue Dart,140,3,Delivered
208,1,Delhivery,299,6,Delivered
209,5,DTDC,148,1,Delivered
210,5,DTDC,116,3,Delivered
211,5,Ekart,108,4,Delivered
212,1,DTDC,226,5,Delivered
213,5,Blue Dart,111,4,Delivered
214,5,Blue Dart,287,3,Delivered
215,4,Blue Dart,72,3,Delivered
216,1,Blue Dart,224,4,Delivered
217,1,Delhivery,205,1,Delivered
218,3,Ekart,129,4,Delivered
219,3,Delhivery,168,4,Delivered
220,5,DTDC,220,7,Delivered
221,4,DTDC,43,5,Delivered
222,4,Blue Dart,157,1,Delivered
223,2,Blue Dart,135,2,Delivered
224,1,Blue Dart,252,7,Delivered
225,4,DTDC,285,2,Delivered
226,4,Delhivery,164,1,Delivered
227,5,Blue Dart,108,6,Delivered
228,5,Blue Dart,68,2,Delivered
229,5,DTDC,49,6,Delivered
230,1,Blue Dart,269,5,Delivered
231,2,Blue Dart,250,5,Delivered
232,2,Ekart,125,6,Delivered
233,4,Delhivery,157,4,Delivered
234,1,Delhivery,143,5,Delivered
235,4,Blue Dart,89,2,Delivered
236,5,Delhivery,297,7,Delivered
237,4,Blue Dart,40,7,Delivered
238,5,DTDC,229,7,Delivered
239,4,Blue Dart,286,7,Delivered
240,3,Delhivery,257,2,Delivered
241,2,Delhivery,185,5,Delivered
242,4,Ekart,136,1,Delivered
243,5,Delhivery,43,4,Delivered
244,3,DTDC,225,1,Delivered
245,5,Ekart,173,7,Delivered
246,5,Ekart,181,6,Delivered
247,4,DTDC,131,3,Delivered
248,4,Ekart,197,5,Delivered
249,2,Delhivery,157,4,Delivered
250,1,Blue Dart,300,4,Delivered
251,5,Delhivery,122,4,Delivered
252,1,Blue Dart,281,5,Delivered
253,1,Ekart,153,3,Delivered
254,1,DTDC,245,5,Delivered
255,3,Delhivery,129,6,Delivered
256,1,Blue Dart,186,2,Delivered
257,5,Blue Dart,126,6,Delivered
258,2,Delhivery,120,1,Delivered
259,3,DTDC,247,5,Delivered
260,1,Delhivery,86,5,Delivered
261,5,Ekart,217,7,Delivered
262,5,Blue Dart,272,4,Delivered
263,3,Blue Dart,248,5,Delivered
264,1,Ekart,214,1,Delivered
265,3,Ekart,266,4,Delivered
266,2,Ekart,274,6,Delivered
267,1,DTDC,99,3,Delivered
268,2,Blue Dart,201,4,Delivered
269,5,Delhivery,174,2,Delivered
270,4,Ekart,78,5,Delivered
271,4,Ekart,221,2,Delivered
272,3,Blue Dart,137,4,Delivered
273,2,Blue Dart,175,2,Delivered
274,2,Ekart,119,7,Delivered
275,1,DTDC,43,7,Delivered
276,1,DTDC,230,5,Delivered
277,5,Ekart,291,2,Delivered
278,3,DTDC,153,7,Delivered
279,1,DTDC,284,5,Delivered
280,3,DTDC,129,4,Delivered
281,5,DTDC,201,6,Delivered
282,2,DTDC,91,3,Delivered
283,3,Blue Dart,174,2,Delivered
284,5,Ekart,227,2,Delivered
285,2,DTDC,230,3,Delivered
286,3,DTDC,132,5,Delivered
287,2,Delhivery,178,7,Delivered
288,4,DTDC,140,2,Delivered
289,4,Delhivery,130,4,Delivered
290,5,Ekart,289,3,Delivered
291,5,Delhivery,243,1,Delivered
292,1,Blue Dart,170,4,Delivered
293,4,Ekart,173,3,Delivered
294,5,Ekart,216,1,Delivered
295,3,Blue Dart,129,7,Delivered
296,3,DTDC,268,1,Delivered
297,3,DTDC,114,7,Delivered
298,4,DTDC,76,1,Delivered
299,2,Ekart,202,6,Delivered
300,5,DTDC,178,4,Delivered
301,5,DTDC,251,2,Delivered
302,2,Blue Dart,168,6,Delivered
303,2,Blue Dart,243,1,Delivered
304,4,Delhivery,53,7,Delivered
305,1,Delhivery,174,5,Delivered
306,4,Ekart,157,2,Delivered
307,4,Blue Dart,107,5,Delivered
308,1,Delhivery,222,7,Delivered
309,4,DTDC,179,5,Delivered
310,5,Blue Dart,273,6,Delivered
311,4,Ekart,217,4,Delivered
312,1,DTDC,197,3,Delivered
313,2,Ekart,45,1,Delivered
314,3,Ekart,280,5,Delivered
315,4,Ekart,44,7,Delivered
316,5,Blue Dart,43,5,Delivered
317,4,DTDC,242,2,Delivered
318,4,Blue Dart,174,1,Delivered
319,5,Ekart,185,6,Delivered
320,3,DTDC,136,7,Delivered
321,2,Ekart,96,6,Delivered
322,4,Ekart,291,2,Delivered
323,2,Delhivery,51,2,Delivered
324,3,Ekart,104,6,Delivered
325,2,Delhivery,117,1,Delivered
326,3,DTDC,199,7,Delivered
327,3,DTDC,56,3,Delivered
328,1,Ekart,240,1,Delivered
329,2,Blue Dart,168,7,Delivered
330,1,Blue Dart,237,7,Delivered
331,2,Delhivery,141,4,Delivered
332,5,Blue Dart,282,4,Delivered
333,3,Blue Dart,61,6,Delivered
334,5,Delhivery,169,4,Delivered
335,2,Ekart,66,7,Delivered
336,1,Blue Dart,262,3,Delivered
337,3,Delhivery,242,7,Delivered
338,1,DTDC,119,3,Delivered
339,2,Blue Dart,295,1,Delivered
340,3,Delhivery,70,3,Delivered
341,5,Delhivery,104,4,Delivered
342,5,Ekart,264,6,Delivered
343,4,Ekart,108,3,Delivered
344,4,DTDC,190,5,Delivered
345,2,Blue Dart,218,3,Delivered
346,3,Blue Dart,75,5,Delivered
347,3,Ekart,227,4,Delivered
348,4,Blue Dart,49,5,Delivered
349,5,Blue Dart,204,6,Delivered
350,4,Blue Dart,294,7,Delivered
351,5,Ekart,205,4,Delivered
352,1,Delhivery,74,1,Delivered
353,2,Delhivery,143,1,Delivered
354,1,Delhivery,238,6,Delivered
355,5,Ekart,65,3,Delivered
356,1,Delhivery,146,6,Delivered
357,4,Delhivery,224,5,Delivered
358,3,Delhivery,176,5,Delivered
359,3,Delhivery,150,5,Delivered
360,2,DTDC,137,2,Delivered
361,5,Blue Dart,252,6,Delivered
362,3,DTDC,258,1,Delivered
363,5,DTDC,298,3,Delivered
364,5,DTDC,220,3,Delivered
365,3,DTDC,260,7,Delivered
366,5,Blue Dart,149,4,Delivered
367,3,Ekart,271,4,Delivered
368,1,Delhivery,185,5,Delivered
369,2,Ekart,43,3,Delivered
370,3,Delhivery,181,5,Delivered
371,5,Blue Dart,88,1,Delivered
372,2,Blue Dart,175,3,Delivered
373,2,Blue Dart,171,7,Delivered
374,5,DTDC,151,6,Delivered
375,4,Blue Dart,289,7,Delivered
376,1,Ekart,59,6,Delivered
377,4,Delhivery,68,7,Delivered
378,4,DTDC,101,7,Delivered
379,5,Delhivery,235,1,Delivered
380,1,Ekart,116,3,Delivered
381,2,Delhivery,241,4,Delivered
382,5,Delhivery,153,4,Delivered
383,2,Blue Dart,212,1,Delivered
384,1,DTDC,174,1,Delivered
385,4,Blue Dart,109,4,Delivered
386,4,DTDC,140,5,Delivered
387,2,Blue Dart,76,3,Delivered
388,3,Delhivery,97,6,Delivered
389,3,Ekart,137,3,Delivered
390,1,Ekart,126,3,Delivered
391,5,Blue Dart,265,1,Delivered
392,2,Ekart,119,7,Delivered
393,1,Delhivery,164,5,Delivered
394,3,Delhivery,215,6,Delivered
395,3,DTDC,281,1,Delivered
396,5,Blue Dart,144,5,Delivered
397,5,DTDC,112,6,Delivered
398,4,Delhivery,170,2,Delivered
399,2,Ekart,67,4,Delivered
400,1,DTDC,178,6,Delivered
401,1,Delhivery,189,7,Delivered
402,2,DTDC,300,6,Delivered
403,4,Delhivery,135,2,Delivered
404,5,Delhivery,60,2,Delivered
405,3,Ekart,290,4,Delivered
406,1,Ekart,220,3,Delivered
407,2,Ekart,71,6,Delivered
408,1,Ekart,155,2,Delivered
409,2,Delhivery,235,5,Delivered
410,2,DTDC,163,5,Delivered
411,3,Ekart,269,5,Delivered
412,2,Blue Dart,110,3,Delivered
413,2,DTDC,114,6,Delivered
414,2,Ekart,74,5,Delivered
415,2,Ekart,114,6,Delivered
416,4,DTDC,195,4,Delivered
417,2,Blue Dart,94,2,Delivered
418,5,Ekart,158,5,Delivered
419,1,Ekart,80,6,Delivered
420,2,DTDC,231,2,Delivered
421,4,DTDC,110,2,Delivered
422,1,DTDC,47,3,Delivered
423,2,Blue Dart,144,1,Delivered
424,5,DTDC,206,7,Delivered
425,4,DTDC,61,5,Delivered
426,3,DTDC,59,5,Delivered
427,4,Delhivery,165,5,Delivered
428,1,DTDC,65,2,Delivered
429,4,Ekart,186,4,Delivered
430,3,Delhivery,112,4,Delivered
431,1,Delhivery,132,7,Delivered
432,2,DTDC,251,3,Delivered
433,2,DTDC,143,4,Delivered
434,3,Blue Dart,103,1,Delivered
435,3,Delhivery,236,6,Delivered
436,5,Blue Dart,233,5,Delivered
437,2,Ekart,116,2,Delivered
438,2,Delhivery,254,3,Delivered
439,3,Blue Dart,100,2,Delivered
440,1,Ekart,46,4,Delivered
441,5,Delhivery,292,2,Delivered
442,4,DTDC,249,4,Delivered
443,5,Delhivery,165,5,Delivered
444,5,Blue Dart,65,2,Delivered
445,3,Delhivery,114,7,Delivered
446,5,Ekart,209,1,Delivered
447,4,Blue Dart,122,6,Delivered
448,5,Blue Dart,273,6,Delivered
449,1,Delhivery,193,3,Delivered
450,1,DTDC,73,3,Delivered
451,1,Ekart,208,5,Delivered
452,2,Blue Dart,69,1,Delivered
453,1,DTDC,187,4,Delivered
454,3,Ekart,106,5,Delivered
455,5,DTDC,292,7,Delivered
456,2,Ekart,139,1,Delivered
457,4,Delhivery,146,7,Delivered
458,4,Delhivery,210,3,Delivered
459,1,Blue Dart,184,3,Delivered
460,3,Ekart,299,5,Delivered
461,1,Ekart,214,4,Delivered
462,5,Delhivery,129,2,Delivered
463,4,DTDC,58,6,Delivered
464,2,DTDC,211,4,Delivered
465,1,Ekart,201,5,Delivered
466,2,Ekart,221,1,Delivered
467,3,Delhivery,213,4,Delivered
468,2,DTDC,135,5,Delivered
469,3,Delhivery,179,4,Delivered
470,2,Ekart,271,7,Delivered
471,2,Ekart,129,1,Delivered
472,2,Delhivery,267,5,Delivered
473,5,Blue Dart,137,3,Delivered
474,5,Ekart,207,2,Delivered
475,5,Blue Dart,145,6,Delivered
476,4,Delhivery,42,3,Delivered
477,5,Delhivery,210,4,Delivered
478,1,Ekart,51,5,Delivered
479,2,Ekart,142,2,Delivered
480,5,Ekart,265,6,Delivered
481,2,Blue Dart,180,1,Delivered
482,5,Delhivery,145,5,Delivered
483,3,Ekart,112,6,Delivered
484,5,Blue Dart,127,1,Delivered
485,3,DTDC,65,2,Delivered
486,1,Delhivery,236,1,Delivered
487,4,Blue Dart,268,5,Delivered
488,3,Blue Dart,80,7,Delivered
489,5,Blue Dart,87,7,Delivered
490,1,DTDC,198,6,Delivered
491,4,Blue Dart,154,2,Delivered
492,3,Ekart,240,2,Delivered
493,3,DTDC,289,1,Delivered
494,1,Ekart,285,4,Delivered
495,3,Ekart,105,5,Delivered
496,1,Ekart,76,7,Delivered
497,4,DTDC,251,2,Delivered
498,5,Blue Dart,286,4,Delivered
499,2,DTDC,262,5,Delivered
500,5,Blue Dart,128,6,Delivered
501,5,DTDC,98,5,Delivered
502,3,Delhivery,267,2,Delivered
503,1,Delhivery,234,3,Delivered
504,1,Blue Dart,111,5,Delivered
505,2,Blue Dart,271,5,Delivered
506,5,DTDC,140,2,Delivered
507,3,Ekart,262,6,Delivered
508,1,Delhivery,246,7,Delivered
509,1,Ekart,67,1,Delivered
510,3,Delhivery,184,7,Delivered
511,4,DTDC,202,6,Delivered
512,4,DTDC,148,6,Delivered
513,2,Blue Dart,236,7,Delivered
514,4,Blue Dart,187,7,Delivered
515,2,Delhivery,76,6,Delivered
516,4,DTDC,109,1,Delivered
517,4,DTDC,132,4,Delivered
518,5,DTDC,236,3,Delivered
519,4,Delhivery,295,7,Delivered
520,5,Ekart,250,5,Delivered
521,1,Delhivery,287,6,Delivered
522,5,DTDC,80,2,Delivered
523,3,DTDC,80,5,Delivered
524,1,Blue Dart,281,6,Delivered
525,5,Ekart,67,3,Delivered
526,4,DTDC,280,5,Delivered
527,4,Ekart,190,3,Delivered
528,5,Ekart,173,1,Delivered
529,5,Blue Dart,66,6,Delivered
530,1,Ekart,288,1,Delivered
531,1,Ekart,169,2,Delivered
532,3,Ekart,47,6,Delivered
533,2,Blue Dart,268,3,Delivered
534,3,Blue Dart,288,2,Delivered
535,1,Ekart,83,2,Delivered
536,4,DTDC,236,2,Delivered
537,2,Blue Dart,216,1,Delivered
538,1,Delhivery,125,4,Delivered
539,3,DTDC,159,4,Delivered
540,4,Ekart,114,5,Delivered
541,1,Ekart,269,4,Delivered
542,5,Delhivery,89,5,Delivered
543,4,Ekart,211,3,Delivered
544,3,DTDC,276,7,Delivered
545,5,Blue Dart,212,6,Delivered
546,3,Delhivery,44,7,Delivered
547,4,Delhivery,93,6,Delivered
548,2,Ekart,168,2,Delivered
549,5,Delhivery,69,5,Delivered
550,5,Delhivery,101,1,Delivered
551,2,DTDC,134,1,Delivered
552,3,Ekart,279,6,Delivered
553,4,Ekart,258,6,Delivered
554,3,Blue Dart,77,3,Delivered
555,4,DTDC,210,1,Delivered
556,2,DTDC,75,4,Delivered
557,5,DTDC,131,6,Delivered
558,2,DTDC,151,5,Delivered
559,4,Ekart,92,1,Delivered
560,5,Ekart,268,1,Delivered
561,2,Delhivery,59,6,Delivered
562,2,Ekart,240,5,Delivered
563,4,DTDC,263,4,Delivered
564,5,Blue Dart,41,4,Delivered
565,1,Ekart,210,6,Delivered
566,1,Delhivery,227,5,Delivered
567,1,DTDC,188,6,Delivered
568,5,Delhivery,236,6,Delivered
569,4,Delhivery,223,4,Delivered
570,2,Blue Dart,58,2,Delivered
571,2,DTDC,239,1,Delivered
572,3,DTDC,270,1,Delivered
573,1,Ekart,61,4,Delivered
574,5,DTDC,116,6,Delivered
575,1,Delhivery,112,4,Delivered
576,4,Delhivery,164,6,Delivered
577,1,Blue Dart,65,3,Delivered
578,4,Blue Dart,72,7,Delivered
579,1,DTDC,152,1,Delivered
580,4,Ekart,245,3,Delivered
581,5,Blue Dart,204,7,Delivered
582,1,Blue Dart,211,1,Delivered
583,2,DTDC,126,6,Delivered
584,2,DTDC,164,5,Delivered
585,1,DTDC,120,1,Delivered
586,1,Delhivery,43,2,Delivered
587,5,Ekart,253,6,Delivered
588,2,Blue Dart,113,6,Delivered
589,4,DTDC,162,2,Delivered
590,5,Blue Dart,295,5,Delivered
591,3,Ekart,254,1,Delivered
592,2,Delhivery,88,5,Delivered
593,5,Blue Dart,277,7,Delivered
594,3,Delhivery,139,1,Delivered
595,4,DTDC,130,2,Delivered
596,1,Ekart,185,2,Delivered
597,3,DTDC,62,1,Delivered
598,5,Blue Dart,120,7,Delivered
599,5,Delhivery,76,2,Delivered
600,5,Ekart,254,2,Delivered
601,2,Delhivery,206,2,Delivered
602,4,Blue Dart,232,2,Delivered
603,5,DTDC,67,4,Delivered
604,5,DTDC,131,4,Delivered
605,4,Blue Dart,223,3,Delivered
606,2,Delhivery,70,3,Delivered
607,4,DTDC,254,2,Delivered
608,2,Ekart,120,7,Delivered
609,2,Blue Dart,84,4,Delivered
610,4,Blue Dart,282,7,Delivered
611,1,DTDC,166,2,Delivered
612,5,Blue Dart,116,5,Delivered
613,4,Delhivery,60,4,Delivered
614,1,DTDC,241,4,Delivered
615,4,DTDC,163,1,Delivered
616,4,Blue Dart,107,3,Delivered
617,1,Delhivery,285,6,Delivered
618,4,Delhivery,272,4,Delivered
619,4,Blue Dart,229,6,Delivered
620,1,DTDC,210,5,Delivered
621,4,Ekart,146,7,Delivered
622,5,Ekart,68,5,Delivered
623,1,Delhivery,236,3,Delivered
624,1,Ekart,227,2,Delivered
625,1,Blue Dart,110,3,Delivered
626,1,DTDC,147,7,Delivered
627,3,Ekart,176,5,Delivered
628,3,Delhivery,72,3,Delivered
629,4,Delhivery,280,6,Delivered
630,3,DTDC,228,7,Delivered
631,2,DTDC,84,1,Delivered
632,3,Delhivery,95,2,Delivered
633,2,DTDC,117,7,Delivered
634,1,Ekart,253,6,Delivered
635,4,Ekart,255,4,Delivered
636,3,Blue Dart,72,1,Delivered
637,5,Ekart,250,5,Delivered
638,4,DTDC,274,3,Delivered
639,3,Blue Dart,173,2,Delivered
640,3,Delhivery,115,3,Delivered
641,2,Blue Dart,186,2,Delivered
642,2,Blue Dart,161,1,Delivered
643,5,Blue Dart,265,3,Delivered
644,2,Delhivery,202,3,Delivered
645,4,Blue Dart,194,1,Delivered
646,4,DTDC,114,4,Delivered
647,2,Delhivery,299,3,Delivered
648,4,Ekart,115,7,Delivered
649,3,Delhivery,285,1,Delivered
650,1,Ekart,52,4,Delivered
651,4,Ekart,87,3,Delivered
652,2,Blue Dart,182,2,Delivered
653,5,DTDC,84,5,Delivered
654,4,Ekart,68,6,Delivered
655,2,DTDC,229,4,Delivered
656,3,Ekart,219,3,Delivered
657,1,Blue Dart,267,6,Delivered
658,3,Blue Dart,257,6,Delivered
659,2,Delhivery,113,2,Delivered
660,5,Ekart,73,5,Delivered
661,1,Delhivery,249,6,Delivered
662,4,Blue Dart,276,6,Delivered
663,2,Blue Dart,235,3,Delivered
664,1,Ekart,195,4,Delivered
665,2,Delhivery,41,2,Delivered
666,4,Delhivery,187,4,Delivered
667,2,Delhivery,101,7,Delivered
668,1,Ekart,286,5,Delivered
669,4,Delhivery,231,5,Delivered
670,1,Ekart,123,5,Delivered
671,3,DTDC,109,3,Delivered
672,3,Ekart,254,6,Delivered
673,1,Ekart,189,5,Delivered
674,5,Blue Dart,133,7,Delivered
675,2,Ekart,201,7,Delivered
676,3,Ekart,89,5,Delivered
677,2,Delhivery,110,5,Delivered
678,4,DTDC,214,2,Delivered
679,2,Blue Dart,136,7,Delivered
680,5,Delhivery,253,4,Delivered
681,1,Blue Dart,48,4,Delivered
682,3,Blue Dart,266,5,Delivered
683,2,Ekart,54,6,Delivered
684,2,Blue Dart,112,6,Delivered
685,2,Blue Dart,106,1,Delivered
686,1,Delhivery,287,7,Delivered
687,2,Delhivery,56,7,Delivered
688,5,Delhivery,280,1,Delivered
689,1,Delhivery,194,6,Delivered
690,1,Blue Dart,142,2,Delivered
691,1,Delhivery,114,7,Delivered
692,5,Ekart,220,2,Delivered
693,5,Blue Dart,298,5,Delivered
694,5,Delhivery,151,6,Delivered
695,2,Delhivery,90,2,Delivered
696,4,Ekart,134,4,Delivered
697,2,Ekart,234,4,Delivered
698,2,DTDC,97,7,Delivered
699,4,Delhivery,109,4,Delivered
700,3,Delhivery,82,3,Delivered
701,4,Ekart,273,5,Delivered
702,4,Blue Dart,248,3,Delivered
703,2,Delhivery,283,6,Delivered
704,1,DTDC,93,4,Delivered
705,1,Delhivery,113,4,Delivered
706,1,Blue Dart,73,3,Delivered
707,3,Blue Dart,246,1,Delivered
708,4,Ekart,179,7,Delivered
709,3,DTDC,247,4,Delivered
710,2,DTDC,95,1,Delivered
711,4,Blue Dart,108,1,Delivered
712,1,DTDC,53,2,Delivered
713,3,Blue Dart,195,5,Delivered
714,1,DTDC,278,2,Delivered
715,4,Ekart,215,7,Delivered
716,5,Delhivery,56,4,Delivered
717,4,DTDC,201,7,Delivered
718,4,Delhivery,56,2,Delivered
719,2,DTDC,260,2,Delivered
720,4,Delhivery,291,6,Delivered
721,5,DTDC,283,5,Delivered
722,5,Delhivery,240,3,Delivered
723,4,Ekart,185,3,Delivered
724,5,Delhivery,105,7,Delivered
725,5,Delhivery,214,4,Delivered
726,3,Ekart,250,3,Delivered
727,2,Blue Dart,199,5,Delivered
728,3,Delhivery,212,2,Delivered
729,3,Delhivery,275,6,Delivered
730,5,DTDC,176,1,Delivered
731,5,Delhivery,202,4,Delivered
732,3,Delhivery,290,1,Delivered
733,3,DTDC,297,7,Delivered
734,2,Ekart,226,4,Delivered
735,1,Blue Dart,187,3,Delivered
736,5,DTDC,155,5,Delivered
737,5,Delhivery,212,3,Delivered
738,5,DTDC,258,2,Delivered
739,3,Ekart,261,6,Delivered
740,2,DTDC,245,3,Delivered
741,4,Blue Dart,49,6,Delivered
742,2,DTDC,149,6,Delivered
743,3,DTDC,70,5,Delivered
