payment_id,payment_method,payment_status
238,COD,Paid
239,Wallet,Paid
240,COD,Paid
241,COD,Paid
242,Wallet,Paid
243,UPI,Paid
244,Credit Card,Paid
245,COD,Paid
246,COD,Paid
247,Credit Card,Paid
248,Wallet,Paid
249,COD,Paid
250,Credit Card,Paid
251,Debit Card,Paid
252,UPI,Paid
253,UPI,Paid
254,Wallet,Paid
255,Wallet,Paid
256,COD,Paid
257,Wallet,Paid
258,Debit Card,Paid
259,COD,Paid
260,Wallet,Paid
261,Wallet,Paid
262,Credit Card,Paid
263,UPI,Paid
264,Wallet,Paid
265,Wallet,Paid
266,COD,Paid
267,Wallet,Paid
268,COD,Paid
269,Debit Card,Paid
270,UPI,Paid
271,Credit Card,Paid
272,Wallet,Paid
273,Credit Card,Paid
274,Credit Card,Paid
275,UPI,Paid
276,Wallet,Paid
277,COD,Paid
278,Wallet,Paid
279,Credit Card,Paid
280,Wallet,Paid
281,UPI,Paid
282,UPI,Paid
283,Wallet,Paid
284,COD,Paid
285,COD,Paid
286,COD,Paid
287,Wallet,Paid
288,Wallet,Paid
289,Credit Card,Paid
290,Credit Card,Paid
291,Wallet,Paid
292,Credit Card,Paid
293,UPI,Paid
294,Wallet,Paid
295,UPI,Paid
296,Debit Card,Paid
297,Wallet,Paid
298,Debit Card,Paid
299,Debit Card,Paid
300,Debit Card,Paid
301,Debit Card,Paid
302,UPI,Paid
303,UPI,Paid
304,UPI,Paid
305,Wallet,Paid
306,UPI,Paid
307,Debit Card,Paid
308,Credit Card,Paid
309,Debit Card,Paid
310,Credit Card,Paid
311,Wallet,Paid
312,Credit Card,Paid
313,Debit Card,Paid
314,Credit Card,Paid
315,COD,Paid
316,Debit Card,Paid
317,Credit Card,Paid
318,COD,Paid
319,Credit Card,Paid
320,Wallet,Paid
321,Credit Card,Paid
322,Wallet,Paid
323,UPI,Paid
324,UPI,Paid
325,UPI,Paid
326,Credit Card,Paid
327,COD,Paid
328,Credit Card,Paid
329,COD,Paid
330,UPI,Paid
331,COD,Paid
332,UPI,Paid
333,Debit Card,Paid
334,Wallet,Paid
335,Debit Card,Paid
336,Credit Card,Paid
337,Credit Card,Paid
338,UPI,Paid
339,UPI,Paid
340,Wallet,Paid
341,Credit Card,Paid
342,Debit Card,Paid
343,UPI,Paid
344,UPI,Paid
345,COD,Paid
346,COD,Paid
347,COD,Paid
348,Wallet,Paid
349,Debit Card,Paid
350,Wallet,Paid
351,Credit Card,Paid
352,Debit Card,Paid
353,Credit Card,Paid
354,Credit Card,Paid
355,Wallet,Paid
356,Wallet,Paid
357,UPI,Paid
358,COD,Paid
359,UPI,Paid
360,UPI,Paid
361,Credit Card,Paid
362,Wallet,Paid
363,Credit Card,Paid
364,Credit Card,Paid
365,Debit Card,Paid
366,Debit Card,Paid
367,Wallet,Paid
368,COD,Paid
369,Wallet,Paid
370,Credit Card,Paid
371,Wallet,Paid
372,Debit Card,Paid
373,Wallet,Paid
374,UPI,Paid
375,Debit Card,Paid
376,Wallet,Paid
377,Wallet,Paid
378,Debit Card,Paid
379,Credit Card,Paid
380,Wallet,Paid
381,Credit Card,Paid
382,Wallet,Paid
383,COD,Paid
384,Wallet,Paid
385,Wallet,Paid
386,Credit Card,Paid
387,Wallet,Paid
388,COD,Paid
389,COD,Paid
390,Wallet,Paid
391,COD,Paid
392,Credit Card,Paid
393,UPI,Paid
394,Credit Card,Paid
395,UPI,Paid
396,Credit Card,Paid
397,Debit Card,Paid
398,UPI,Paid
399,Debit Card,Paid
400,UPI,Paid
401,Debit Card,Paid
402,COD,Paid
403,Debit Card,Paid
404,COD,Paid
405,Wallet,Paid
406,Credit Card,Paid
407,Debit Card,Paid
408,COD,Paid
409,COD,Paid
410,Wallet,Paid
411,COD,Paid
412,Credit Card,Paid
413,Wallet,Paid
414,Wallet,Paid
415,UPI,Paid
416,Debit Card,Paid
417,Debit Card,Paid
418,UPI,Paid
419,Credit Card,Paid
420,COD,Paid
421,COD,Paid
422,Credit Card,Paid
423,COD,Paid
424,COD,Paid
425,Credit Card,Paid
426,COD,Paid
427,COD,Paid
428,COD,Paid
429,COD,Paid
430,COD,Paid
431,COD,Paid
432,Wallet,Paid
433,UPI,Paid
434,Debit Card,Paid
435,COD,Paid
436,Wallet,Paid
437,UPI,Paid
438,Credit Card,Paid
439,COD,Paid
440,Credit Card,Paid
441,COD,Paid
442,Wallet,Paid
443,Wallet,Paid
444,Wallet,Paid
445,UPI,Paid
446,Wallet,Paid
447,UPI,Paid
448,Wallet,Paid
449,Debit Card,Paid
450,COD,Paid
451,Credit Card,Paid
452,Wallet,Paid
453,Wallet,Paid
454,Debit Card,Paid
455,COD,Paid
456,Wallet,Paid
457,UPI,Paid
458,COD,Paid
459,Credit Card,Paid
460,UPI,Paid
461,UPI,Paid
462,Wallet,Paid
463,Debit Card,Paid
464,COD,Paid
465,COD,Paid
466,UPI,Paid
467,Credit Card,Paid
468,Wallet,Paid
469,Debit Card,Paid
470,COD,Paid
471,Debit Card,Paid
472,UPI,Paid
473,COD,Paid
474,COD,Paid
475,UPI,Paid
476,COD,Paid
477,UPI,Paid
478,UPI,Paid
479,Debit Card,Paid
480,Debit Card,Paid
481,Debit Card,Paid
482,Wallet,Paid
483,Wallet,Paid
484,Debit Card,Paid
485,Wallet,Paid
486,COD,Paid
487,COD,Paid
488,Debit Card,Paid
489,COD,Paid
490,COD,Paid
491,COD,Paid
492,Wallet,Paid
493,Debit Card,Paid
494,COD,Paid
495,Credit Card,Paid
496,COD,Paid
497,Wallet,Paid
498,Credit Card,Paid
499,Debit Card,Paid
500,Debit Card,Paid
501,UPI,Paid
502,COD,Paid
503,COD,Paid
504,UPI,Paid
505,UPI,Paid
506,COD,Paid
507,Debit Card,Paid
508,Debit Card,Paid
509,Debit Card,Paid
510,Wallet,Paid
511,Credit Card,Paid
512,COD,Paid
513,COD,Paid
514,Debit Card,Paid
515,Credit Card,Paid
516,Credit Card,Paid
517,COD,Paid
518,COD,Paid
519,Credit Card,Paid
520,Credit Card,Paid
521,Debit Card,Paid
522,UPI,Paid
523,Wallet,Paid
524,Wallet,Paid
525,UPI,Paid
526,UPI,Paid
527,Debit Card,Paid
528,UPI,Paid
529,COD,Paid
530,Wallet,Paid
531,Wallet,Paid
532,Debit Card,Paid
533,Wallet,Paid
534,Credit Card,Paid
535,Wallet,Paid
536,Credit Card,Paid
537,COD,Paid
538,Debit Card,Paid
539,COD,Paid
540,COD,Paid
541,COD,Paid
542,Debit Card,Paid
543,Debit Card,Paid
544,UPI,Paid
545,Credit Card,Paid
546,Credit Card,Paid
547,UPI,Paid
548,Debit Card,Paid
549,UPI,Paid
550,Credit Card,Paid
551,Wallet,Paid
552,Credit Card,Paid
553,UPI,Paid
554,Debit Card,Paid
555,UPI,Paid
556,Debit Card,Paid
557,Credit Card,Paid
558,UPI,Paid
559,UPI,Paid
560,UPI,Paid
561,COD,Paid
562,Debit Card,Paid
563,Wallet,Paid
564,UPI,Paid
565,COD,Paid
566,COD,Paid
567,Debit Card,Paid
568,Credit Card,Paid
569,Debit Card,Paid
570,COD,Paid
571,Wallet,Paid
572,Wallet,Paid
573,Debit Card,Paid
574,Credit Card,Paid
575,Credit Card,Paid
576,UPI,Paid
577,Credit Card,Paid
578,UPI,Paid
579,UPI,Paid
580,Credit Card,Paid
581,Wallet,Paid
582,Credit Card,Paid
583,Debit Card,Paid
584,Wallet,Paid
585,Credit Card,Paid
586,COD,Paid
587,UPI,Paid
588,COD,Paid
589,Wallet,Paid
590,UPI,Paid
591,UPI,Paid
592,Credit Card,Paid
593,Wallet,Paid
594,Credit Card,Paid
595,Credit Card,Paid
596,UPI,Paid
597,Debit Card,Paid
598,UPI,Paid
599,COD,Paid
600,COD,Paid
601,Debit Card,Paid
602,Credit Card,Paid
603,COD,Paid
604,Credit Card,Paid
605,Credit Card,Paid
606,Debit Card,Paid
607,UPI,Paid
608,Debit Card,Paid
609,Wallet,Paid
610,Wallet,Paid
611,Debit Card,Paid
612,COD,Paid
613,UPI,Paid
614,Wallet,Paid
615,UPI,Paid
616,UPI,Paid
617,Credit Card,Paid
618,Credit Card,Paid
619,Credit Card,Paid
620,UPI,Paid
621,Debit Card,Paid
622,UPI,Paid
623,Debit Card,Paid
624,Wallet,Paid
625,Wallet,Paid
626,Wallet,Paid
627,Credit Card,Paid
628,COD,Paid
629,COD,Paid
630,Wallet,Paid
631,UPI,Paid
632,Credit Card,Paid
633,UPI,Paid
634,Wallet,Paid
635,Credit Card,Paid
636,UPI,Paid
637,Credit Card,Paid
638,Debit Card,Paid
639,Credit Card,Paid
640,Debit Card,Paid
641,COD,Paid
642,Credit Card,Paid
643,Debit Card,Paid
644,Credit Card,Paid
645,Debit Card,Paid
646,UPI,Paid
647,Debit Card,Paid
648,Debit Card,Paid
649,COD,Paid
650,Wallet,Paid
651,Credit Card,Paid
652,Wallet,Paid
653,UPI,Paid
654,Credit Card,Paid
655,COD,Paid
656,UPI,Paid
657,Wallet,Paid
658,COD,Paid
659,COD,Paid
660,COD,Paid
661,COD,Paid
662,Debit Card,Paid
663,Credit Card,Paid
664,COD,Paid
665,COD,Paid
666,Debit Card,Paid
667,COD,Paid
668,COD,Paid
669,Debit Card,Paid
670,Wallet,Paid
671,Credit Card,Paid
672,UPI,Paid
673,Debit Card,Paid
674,UPI,Paid
675,Wallet,Paid
676,Debit Card,Paid
677,Debit Card,Paid
678,Debit Card,Paid
679,Credit Card,Paid
680,Wallet,Paid
681,UPI,Paid
682,Debit Card,Paid
683,Debit Card,Paid
684,UPI,Paid
685,Debit Card,Paid
686,UPI,Paid
687,UPI,Paid
688,Wallet,Paid
689,Debit Card,Paid
690,UPI,Paid
691,Debit Card,Paid
692,Debit Card,Paid
693,Wallet,Paid
694,UPI,Paid
695,Debit Card,Paid
696,Wallet,Paid
697,UPI,Paid
698,Wallet,Paid
699,UPI,Paid
700,Debit Card,Paid
701,UPI,Paid
702,Debit Card,Paid
703,COD,Paid
704,Credit Card,Paid
705,Wallet,Paid
706,Wallet,Paid
707,Credit Card,Paid
708,COD,Paid
709,COD,Paid
710,Debit Card,Paid
711,COD,Paid
712,UPI,Paid
713,Wallet,Paid
714,UPI,Paid
715,COD,Paid
716,Wallet,Paid
717,UPI,Paid
718,COD,Paid
719,Debit Card,Paid
720,COD,Paid
721,Wallet,Paid
722,Credit Card,Paid
723,Wallet,Paid
724,UPI,Paid
725,Debit Card,Paid
726,COD,Paid
727,Credit Card,Paid
728,UPI,Paid
729,Wallet,Paid
730,COD,Paid
731,COD,Paid
732,COD,Paid
733,Credit Card,Paid
734,Debit Card,Paid
735,COD,Paid
736,Debit Card,Paid
737,UPI,Paid
738,Wallet,Paid
739,UPI,Paid
740,Debit Card,Paid
741,Wallet,Paid
742,Wallet,Paid
743,COD,Paid
744,Debit Card,Paid
745,Debit Card,Paid
746,UPI,Paid
747,Credit Card,Paid
748,Credit Card,Paid
749,Debit Card,Paid
750,UPI,Paid
751,Debit Card,Paid
752,UPI,Paid
753,UPI,Paid
754,Credit Card,Paid
755,Wallet,Paid
756,Wallet,Paid
757,COD,Paid
758,Credit Card,Paid
759,Wallet,Paid
760,UPI,Paid
761,Debit Card,Paid
762,Debit Card,Paid
763,Credit Card,Paid
764,Debit Card,Paid
765,COD,Paid
766,Credit Card,Paid
767,Debit Card,Paid
768,COD,Paid
769,UPI,Paid
770,COD,Paid
771,UPI,Paid
772,Credit Card,Paid
773,Credit Card,Paid
774,Debit Card,Paid
775,Wallet,Paid
776,Debit Card,Paid
777,Wallet,Paid
778,Wallet,Paid
779,Credit Card,Paid
780,Credit Card,Paid
781,UPI,Paid
782,COD,Paid
783,Debit Card,Paid
784,Credit Card,Paid
785,Credit Card,Paid
786,UPI,Paid
787,Credit Card,Paid
788,Credit Card,Paid
789,COD,Paid
790,UPI,Paid
791,Debit Card,Paid
792,Wallet,Paid
793,Credit Card,Paid
794,Wallet,Paid
795,Debit Card,Paid
796,Debit Card,Paid
797,Debit Card,Paid
798,Debit Card,Paid
799,COD,Paid
800,UPI,Paid
801,Credit Card,Paid
802,COD,Paid
803,Credit Card,Paid
804,Debit Card,Paid
805,Wallet,Paid
806,Wallet,Paid
807,COD,Paid
808,UPI,Paid
809,Credit Card,Paid
810,COD,Paid
811,UPI,Paid
812,Wallet,Paid
813,Debit Card,Paid
814,Wallet,Paid
815,Credit Card,Paid
816,Credit Card,Paid
817,Credit Card,Paid
818,Debit Card,Paid
819,Debit Card,Paid
820,COD,Paid
821,COD,Paid
822,UPI,Paid
823,Credit Card,Paid
824,UPI,Paid
825,Debit Card,Paid
826,Wallet,Paid
827,COD,Paid
828,Wallet,Paid
829,COD,Paid
830,COD,Paid
831,COD,Paid
832,Credit Card,Paid
833,Debit Card,Paid
834,UPI,Paid
835,COD,Paid
836,Wallet,Paid
837,Credit Card,Paid
838,Credit Card,Paid
839,Credit Card,Paid
840,COD,Paid
841,Credit Card,Paid
842,COD,Paid
843,COD,Paid
844,COD,Paid
845,COD,Paid
846,Wallet,Paid
847,Debit Card,Paid
848,Debit Card,Paid
849,Credit Card,Paid
850,Credit Card,Paid
851,Debit Card,Paid
852,Credit Card,Paid
853,UPI,Paid
854,Wallet,Paid
855,Credit Card,Paid
856,Debit Card,Paid
857,Wallet,Paid
858,Wallet,Paid
859,Debit Card,Paid
860,Wallet,Paid
861,COD,Paid
862,UPI,Paid
863,Credit Card,Paid
864,Wallet,Paid
865,Debit Card,Paid
866,COD,Paid
867,Wallet,Paid
868,COD,Paid
869,Wallet,Paid
870,COD,Paid
871,Credit Card,Paid
872,COD,Paid
873,UPI,Paid
874,Wallet,Paid
875,Debit Card,Paid
876,Credit Card,Paid
877,COD,Paid
878,Debit Card,Paid
879,Wallet,Paid
880,Credit Card,Paid
881,Debit Card,Paid
882,Debit Card,Paid
883,UPI,Paid
884,Credit Card,Paid
885,Wallet,Paid
886,Wallet,Paid
887,Credit Card,Paid
888,COD,Paid
889,Debit Card,Paid
890,Wallet,Paid
891,COD,Paid
892,COD,Paid
893,COD,Paid
894,UPI,Paid
895,Wallet,Paid
896,Debit Card,Paid
897,Credit Card,Paid
898,Debit Card,Paid
899,Wallet,Paid
900,Wallet,Paid
901,COD,Paid
902,COD,Paid
903,Debit Card,Paid
904,COD,Paid
905,UPI,Paid
906,UPI,Paid
907,Wallet,Paid
908,UPI,Paid
909,Credit Card,Paid
910,Wallet,Paid
911,UPI,Paid
912,Wallet,Paid
913,UPI,Paid
914,Debit Card,Paid
915,Credit Card,Paid
916,UPI,Paid
917,COD,Paid
918,UPI,Paid
919,Wallet,Paid
920,COD,Paid
921,Wallet,Paid
922,Credit Card,Paid
923,Wallet,Paid
924,Wallet,Paid
925,Credit Card,Paid
926,COD,Paid
927,COD,Paid
928,Credit Card,Paid
929,Wallet,Paid
930,UPI,Paid
931,Wallet,Paid
932,COD,Paid
933,COD,Paid
934,UPI,Paid
935,Credit Card,Paid
936,UPI,Paid
937,Debit Card,Paid
938,UPI,Paid
939,UPI,Paid
940,Debit Card,Paid
941,Credit Card,Paid
942,COD,Paid
943,COD,Paid
944,Wallet,Paid
945,UPI,Paid
946,Debit Card,Paid
947,COD,Paid
948,Debit Card,Paid
949,Wallet,Paid
950,UPI,Paid
951,COD,Paid
952,UPI,Paid
953,UPI,Paid
954,UPI,Paid
955,UPI,Paid
956,COD,Paid
957,Wallet,Paid
958,COD,Paid
959,UPI,Paid
960,UPI,Paid
961,COD,Paid
962,Debit Card,Paid
963,COD,Paid
964,COD,Paid
965,UPI,Paid
966,UPI,Paid
967,Wallet,Paid
968,Wallet,Paid
969,UPI,Paid
970,Wallet,Paid
971,Debit Card,Paid
972,UPI,Paid
973,Wallet,Paid
974,Credit Card,Paid
975,COD,Paid
976,COD,Paid
977,UPI,Paid
978,Credit Card,Paid
979,Debit Card,Paid
980,UPI,Paid
981,Wallet,Paid
982,Wallet,Paid
983,Debit Card,Paid
984,Debit Card,Paid
985,Credit Card,Paid
986,Credit Card,Paid
987,COD,Paid
988,Wallet,Paid
989,Credit Card,Paid
990,Debit Card,Paid
991,Wallet,Paid
992,Debit Card,Paid
993,Wallet,Paid
994,COD,Paid
995,Wallet,Paid
996,Debit Card,Paid
997,Wallet,Paid
998,Credit Card,Paid
999,COD,Paid
1000,UPI,Paid
1001,Debit Card,Paid
1002,Debit Card,Paid
1003,Debit Card,Paid
1004,Credit Card,Paid
1005,Debit Card,Paid
1006,UPI,Paid
1007,Debit Card,Paid
1008,Debit Card,Paid
1009,Wallet,Paid
1010,Debit Card,Paid
1011,UPI,Paid
1012,Credit Card,Paid
1013,COD,Paid
1014,COD,Paid
1015,Wallet,Paid
1016,Credit Card,Paid
1017,Debit Card,Paid
1018,COD,Paid
1019,Wallet,Paid
1020,Wallet,Paid
1021,COD,Paid
1022,Debit Card,Paid
1023,UPI,Paid
1024,Wallet,Paid
1025,COD,Paid
1026,Wallet,Paid
1027,UPI,Paid
1028,UPI,Paid
1029,COD,Paid
1030,COD,Paid
1031,COD,Paid
1032,UPI,Paid
1033,COD,Paid
1034,Debit Card,Paid
1035,Credit Card,Paid
1036,COD,Paid
1037,UPI,Paid
1038,Debit Card,Paid
1039,Credit Card,Paid
1040,UPI,Paid
1041,Debit Card,Paid
1042,COD,Paid
1043,COD,Paid
1044,Credit Card,Paid
1045,UPI,Paid
1046,Debit Card,Paid
1047,Credit Card,Paid
1048,UPI,Paid
1049,Credit Card,Paid
1050,Wallet,Paid
1051,Wallet,Paid
1052,Credit Card,Paid
1053,COD,Paid
1054,UPI,Paid
1055,UPI,Paid
1056,Credit Card,Paid
1057,Credit Card,Paid
1058,UPI,Paid
1059,COD,Paid
1060,Debit Card,Paid
1061,Wallet,Paid
1062,UPI,Paid
1063,Credit Card,Paid
1064,COD,Paid
1065,Wallet,Paid
1066,UPI,Paid
1067,COD,Paid
1068,COD,Paid
1069,UPI,Paid
1070,Debit Card,Paid
1071,Credit Card,Paid
1072,UPI,Paid
1073,Credit Card,Paid
1074,UPI,Paid
1075,UPI,Paid
1076,COD,Paid
1077,Credit Card,Paid
1078,Wallet,Paid
1079,COD,Paid
1080,COD,Paid
1081,COD,Paid
1082,COD,Paid
1083,Credit Card,Paid
1084,Debit Card,Paid
1085,COD,Paid
1086,Wallet,Paid
1087,COD,Paid
1088,Wallet,Paid
1089,Wallet,Paid
1090,Debit Card,Paid
1091,COD,Paid
1092,Debit Card,Paid
1093,Credit Card,Paid
1094,UPI,Paid
1095,Credit Card,Paid
1096,Debit Card,Paid
1097,UPI,Paid
1098,Credit Card,Paid
1099,COD,Paid
1100,COD,Paid
1101,Credit Card,Paid
1102,Credit Card,Paid
1103,Wallet,Paid
1104,Credit Card,Paid
1105,Wallet,Paid
1106,COD,Paid
1107,Wallet,Paid
1108,UPI,Paid
1109,UPI,Paid
1110,UPI,Paid
1111,Debit Card,Paid
1112,Debit Card,Paid
1113,COD,Paid
1114,UPI,Paid
1115,Credit Card,Paid
1116,Credit Card,Paid
1117,Credit Card,Paid
1118,UPI,Paid
1119,COD,Paid
1120,COD,Paid
1121,Credit Card,Paid
1122,UPI,Paid
1123,UPI,Paid
1124,UPI,Paid
1125,Debit Card,Paid
1126,COD,Paid
1127,Debit Card,Paid
1128,COD,Paid
1129,UPI,Paid
1130,Wallet,Paid
1131,Debit Card,Paid
1132,Wallet,Paid
1133,Debit Card,Paid
1134,Wallet,Paid
1135,Debit Card,Paid
1136,Debit Card,Paid
1137,UPI,Paid
1138,COD,Paid
1139,Credit Card,Paid
1140,COD,Paid
1141,Debit Card,Paid
1142,COD,Paid
1143,Credit Card,Paid
1144,Wallet,Paid
1145,Wallet,Paid
1146,Credit Card,Paid
1147,UPI,Paid
1148,COD,Paid
1149,COD,Paid
1150,Debit Card,Paid
1151,COD,Paid
1152,COD,Paid
1153,UPI,Paid
1154,COD,Paid
1155,UPI,Paid
1156,Wallet,Paid
1157,Credit Card,Paid
1158,Credit Card,Paid
1159,Wallet,Paid
1160,Wallet,Paid
1161,Wallet,Paid
1162,UPI,Paid
1163,Debit Card,Paid
1164,Credit Card,Paid
1165,Wallet,Paid
1166,UPI,Paid
1167,Debit Card,Paid
1168,Debit Card,Paid
1169,UPI,Paid
1170,Credit Card,Paid
1171,Wallet,Paid
1172,Credit Card,Paid
1173,COD,Paid
1174,Debit Card,Paid
1175,Credit Card,Paid
1176,Wallet,Paid
1177,UPI,Paid
1178,UPI,Paid
1179,Credit Card,Paid
1180,Credit Card,Paid
1181,Debit Card,Paid
1182,Wallet,Paid
1183,Debit Card,Paid
1184,Wallet,Paid
1185,Debit Card,Paid
1186,Wallet,Paid
1187,Credit Card,Paid
1188,Debit Card,Paid
1189,Credit Card,Paid
1190,Debit Card,Paid
1191,UPI,Paid
1192,Wallet,Paid
1193,Credit Card,Paid
1194,Wallet,Paid
1195,Debit Card,Paid
1196,Wallet,Paid
1197,Credit Card,Paid
1198,COD,Paid
1199,Credit Card,Paid
1200,Debit Card,Paid
1201,Wallet,Paid
1202,UPI,Paid
1203,Wallet,Paid
1204,UPI,Paid
1205,UPI,Paid
1206,Wallet,Paid
1207,Credit Card,Paid
1208,Debit Card,Paid
1209,Debit Card,Paid
1210,Debit Card,Paid
1211,Credit Card,Paid
1212,COD,Paid
1213,Credit Card,Paid
1214,Wallet,Paid
1215,COD,Paid
1216,UPI,Paid
1217,UPI,Paid
1218,Wallet,Paid
1219,COD,Paid
1220,Wallet,Paid
1221,Debit Card,Paid
1222,UPI,Paid
1223,Credit Card,Paid
1224,Debit Card,Paid
1225,Credit Card,Paid
1226,Debit Card,Paid
1227,UPI,Paid
1228,Debit Card,Paid
1229,Credit Card,Paid
1230,UPI,Paid
1231,Wallet,Paid
1232,COD,Paid
1233,UPI,Paid
1234,Debit Card,Paid
1235,Credit Card,Paid
1236,Wallet,Paid
1237,COD,Paid
1238,COD,Paid
1239,COD,Paid
1240,UPI,Paid
1241,Wallet,Paid
1242,Credit Card,Paid
1243,Credit Card,Paid
1244,Wallet,Paid
1245,Credit Card,Paid
1246,Wallet,Paid
1247,Wallet,Paid
1248,Debit Card,Paid
1249,Wallet,Paid
1250,Debit Card,Paid
1251,Credit Card,Paid
1252,Wallet,Paid
1253,Wallet,Paid
1254,Debit Card,Paid
1255,Debit Card,Paid
1256,Wallet,Paid
1257,Wallet,Paid
1258,Debit Card,Paid
1259,COD,Paid
1260,Credit Card,Paid
1261,COD,Paid
1262,Credit Card,Paid
1263,COD,Paid
1264,Wallet,Paid
1265,UPI,Paid
1266,UPI,Paid
1267,UPI,Paid
1268,COD,Paid
1269,COD,Paid
1270,Debit Card,Paid
