product_id,category_id,product_name,brand,cost_price,selling_price
47,4,Product 47,Brand 10,3996,5349.54
48,1,Product 48,Brand 3,2731,3393.83
49,1,Product 49,Brand 6,4803,5840.98
50,3,Product 50,Brand 2,3523,5429.37
51,3,Product 51,Brand 10,3352,5007.82
52,10,Product 52,Brand 20,406,448.48
53,6,Product 53,Brand 10,979,1531.38
54,9,Product 54,Brand 17,3822,6094.37
55,3,Product 55,Brand 17,4146,6404.04
56,2,Product 56,Brand 11,3934,4864.07
57,5,Product 57,Brand 6,1431,2097.22
58,5,Product 58,Brand 19,215,315.69
59,7,Product 59,Brand 14,1682,1997.79
60,7,Product 60,Brand 4,4321,5461.59
61,8,Product 61,Brand 11,1613,2566.03
62,7,Product 62,Brand 8,2132,2352.48
63,6,Product 63,Brand 10,3759,5551.59
64,1,Product 64,Brand 9,4871,7118.68
65,1,Product 65,Brand 4,3045,4404.24
66,7,Product 66,Brand 17,3912,4903.31
67,5,Product 67,Brand 12,2647,3825.3
68,3,Product 68,Brand 16,1909,2309.06
69,10,Product 69,Brand 12,1354,1797.42
70,8,Product 70,Brand 18,3506,5087.1
71,10,Product 71,Brand 3,1889,2797.48
72,6,Product 72,Brand 3,4404,5828.14
73,9,Product 73,Brand 17,4721,5457.97
74,3,Product 74,Brand 6,1756,2434.43
75,8,Product 75,Brand 4,2787,4256.43
76,8,Product 76,Brand 3,1782,2598.97
77,1,Product 77,Brand 15,4280,5661.33
78,8,Product 78,Brand 19,1180,1600.82
79,5,Product 79,Brand 1,572,789.02
80,1,Product 80,Brand 7,3343,4102.63
81,7,Product 81,Brand 12,4837,5497.32
82,1,Product 82,Brand 3,622,852.5
83,7,Product 83,Brand 6,3967,4426.65
84,7,Product 84,Brand 12,1209,1792.84
85,7,Product 85,Brand 13,3233,4281.36
86,9,Product 86,Brand 5,757,1091.11
87,9,Product 87,Brand 13,2948,3417.67
88,4,Product 88,Brand 1,4432,5157.4
89,8,Product 89,Brand 18,286,454.52
90,4,Product 90,Brand 8,3574,4881.97
91,5,Product 91,Brand 7,3873,4930.64
92,7,Product 92,Brand 20,1024,1142.9
93,2,Product 93,Brand 4,228,278.24
94,10,Product 94,Brand 2,4965,5544.85
95,7,Product 95,Brand 15,2104,3093.45
96,1,Product 96,Brand 5,2019,2765.79
97,4,Product 97,Brand 19,4227,6749.43
98,6,Product 98,Brand 8,2712,3766.26
99,9,Product 99,Brand 8,2572,3956.07
100,1,Product 100,Brand 18,3487,4359.62
101,3,Product 101,Brand 14,4946,7616.13
102,6,Product 102,Brand 13,4653,6271.36
103,7,Product 103,Brand 14,4396,5536.18
104,3,Product 104,Brand 18,1322,1652.43
105,4,Product 105,Brand 10,3979,4856.31
106,1,Product 106,Brand 18,1282,1926.7
107,9,Product 107,Brand 17,3480,5511.95
108,5,Product 108,Brand 7,1198,1550.46
109,8,Product 109,Brand 12,2805,3992.5
110,4,Product 110,Brand 2,857,1172.22
111,10,Product 111,Brand 20,2299,2962.45
112,4,Product 112,Brand 19,423,650.07
113,4,Product 113,Brand 11,4678,5653.4
114,1,Product 114,Brand 7,2583,4077.29
115,2,Product 115,Brand 16,1656,2618.2
116,4,Product 116,Brand 13,2087,3021.59
117,5,Product 117,Brand 13,2060,2834.64
118,6,Product 118,Brand 10,3919,5356.59
119,8,Product 119,Brand 15,2242,2869.36
120,8,Product 120,Brand 11,907,1361.78
121,7,Product 121,Brand 2,1764,2267.36
122,3,Product 122,Brand 1,4708,7212.86
123,10,Product 123,Brand 19,2236,3078.2
124,4,Product 124,Brand 11,3520,4391.54
125,4,Product 125,Brand 16,1984,2559.2
126,6,Product 126,Brand 9,4610,6579.87
127,8,Product 127,Brand 15,4102,6494.51
128,6,Product 128,Brand 6,1478,2167.32
129,8,Product 129,Brand 6,1246,1819.36
130,1,Product 130,Brand 17,4541,7243.63
131,2,Product 131,Brand 2,377,572.86
132,4,Product 132,Brand 3,152,198.54
133,9,Product 133,Brand 15,1337,1476.81
134,10,Product 134,Brand 16,3157,3568.12
135,9,Product 135,Brand 18,4096,4537.82
136,9,Product 136,Brand 9,3469,3836.46
137,1,Product 137,Brand 17,4488,7130.26
138,3,Product 138,Brand 4,3627,5451.69
139,4,Product 139,Brand 7,889,1210.99
140,6,Product 140,Brand 9,4412,5410.03
141,7,Product 141,Brand 15,3351,3818.5
142,4,Product 142,Brand 10,4728,5775.74
143,1,Product 143,Brand 3,760,1084.42
144,9,Product 144,Brand 16,3420,4410.54
145,3,Product 145,Brand 3,559,792.87
146,6,Product 146,Brand 19,4194,6386.06
147,1,Product 147,Brand 8,881,1363.26
148,10,Product 148,Brand 16,1831,2839.22
149,2,Product 149,Brand 9,2320,2606.01
150,1,Product 150,Brand 6,4548,6284.22
151,4,Product 151,Brand 19,2676,2964.55
152,7,Product 152,Brand 3,1281,1890.92
153,4,Product 153,Brand 19,2551,3013.31
154,9,Product 154,Brand 11,3287,4728.41
155,3,Product 155,Brand 3,3244,4794.0
156,6,Product 156,Brand 2,4202,6188.4
157,2,Product 157,Brand 11,900,1186.69
158,6,Product 158,Brand 1,4979,6464.49
159,8,Product 159,Brand 16,2339,3489.26
160,7,Product 160,Brand 14,1968,2514.92
161,7,Product 161,Brand 3,1621,2333.99
162,2,Product 162,Brand 3,2519,3776.05
163,3,Product 163,Brand 13,2295,2701.47
164,2,Product 164,Brand 1,2694,3449.26
165,5,Product 165,Brand 4,2625,3471.22
166,7,Product 166,Brand 15,1185,1355.22
167,7,Product 167,Brand 4,4662,6421.3
168,9,Product 168,Brand 3,315,360.61
169,6,Product 169,Brand 13,4990,6981.12
170,7,Product 170,Brand 3,201,250.43
171,4,Product 171,Brand 19,4683,7270.84
172,7,Product 172,Brand 6,4368,5175.17
173,5,Product 173,Brand 16,1237,1527.03
174,7,Product 174,Brand 9,1295,1465.47
175,2,Product 175,Brand 12,3549,4435.81
176,8,Product 176,Brand 20,2161,3397.33
177,3,Product 177,Brand 10,1701,2260.51
178,6,Product 178,Brand 20,155,244.03
179,6,Product 179,Brand 15,3212,4824.55
180,10,Product 180,Brand 5,2842,3738.11
181,4,Product 181,Brand 16,2561,3227.71
182,7,Product 182,Brand 11,2673,3177.71
183,8,Product 183,Brand 19,2487,3649.52
184,5,Product 184,Brand 13,2085,2633.24
185,10,Product 185,Brand 7,3090,3574.96
186,3,Product 186,Brand 18,4951,7914.83
187,8,Product 187,Brand 7,320,504.48
188,2,Product 188,Brand 14,3691,5532.23
189,5,Product 189,Brand 8,4190,4900.58
190,7,Product 190,Brand 13,2169,3100.22
191,10,Product 191,Brand 16,705,933.8
192,9,Product 192,Brand 14,4869,6331.66
193,6,Product 193,Brand 18,4553,5092.0
194,2,Product 194,Brand 4,4964,7044.36
195,6,Product 195,Brand 6,2133,3047.63
196,7,Product 196,Brand 11,462,638.3
197,2,Product 197,Brand 9,3626,4180.68
198,9,Product 198,Brand 18,1918,2599.54
199,4,Product 199,Brand 15,4855,7009.81
200,10,Product 200,Brand 17,3164,4099.17
