customer_id,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
127,2025-11-18,4,97849.24,260,1,2,3,6,At Risk
128,2025-07-25,5,72411.58,376,1,3,2,6,At Risk
129,2026-05-05,4,125484.48,92,3,2,4,9,Potential Loyalists
130,2026-08-05,11,244932.97,0,5,5,5,15,Champions
131,2026-06-30,14,170878.54,36,4,5,5,14,Champions
132,2026-08-04,7,132293.62,1,5,4,4,13,Champions
133,2025-12-10,3,38613.35,238,1,1,1,3,Lost Customers
134,2026-06-13,7,129522.12,53,4,4,4,12,Loyal Customers
135,2026-05-27,7,73362.43,70,4,4,2,10,Loyal Customers
136,2026-06-13,6,128518.23999999999,53,4,4,4,12,Loyal Customers
137,2026-03-10,6,138381.85,148,2,4,5,11,Loyal Customers
138,2026-02-10,5,68022.91,176,2,3,2,7,At Risk
139,2025-08-05,3,57148.13,365,1,1,2,4,Lost Customers
140,2026-08-02,8,221442.46,3,5,5,5,15,Champions
141,2026-03-17,6,98337.72,141,2,4,3,9,Potential Loyalists
142,2026-08-01,4,41961.11,4,5,2,1,8,Potential Loyalists
143,2026-08-03,5,61872.049999999996,2,5,3,2,10,Loyal Customers
144,2025-12-01,2,33213.72,247,1,1,1,3,Lost Customers
145,2026-05-09,6,84127.33,88,3,4,3,10,Loyal Customers
146,2026-07-17,5,55690.85,19,5,3,2,10,Loyal Customers
147,2025-12-17,6,127984.65,231,2,4,4,10,Loyal Customers
148,2026-06-19,9,155772.77,47,4,5,5,14,Champions
149,2025-05-22,5,145208.03,440,1,3,5,9,Potential Loyalists
150,2026-01-23,7,137007.8,194,2,4,5,11,Loyal Customers
151,2026-06-02,4,93043.43,64,4,2,3,9,Potential Loyalists
152,2026-03-13,8,131507.64,145,2,5,4,11,Loyal Customers
153,2026-04-03,3,25591.19,124,3,1,1,5,Lost Customers
154,2026-04-22,5,100707.81,105,3,3,4,10,Loyal Customers
155,2024-11-13,2,66311.5,630,1,1,2,4,Lost Customers
156,2025-11-01,7,168618.74,277,1,4,5,10,Loyal Customers
157,2026-07-04,6,103573.47,32,5,4,4,13,Champions
158,2026-05-19,2,55148.3,78,3,1,2,6,At Risk
159,2026-03-25,5,66829.61,133,3,3,2,8,Potential Loyalists
160,2024-10-29,3,97596.05,645,1,1,3,5,Lost Customers
161,2026-07-23,9,117507.92,13,5,5,4,14,Champions
162,2026-05-03,3,52183.07,94,3,1,2,6,At Risk
163,2026-04-03,2,36513.9,124,3,1,1,5,Lost Customers
164,2025-07-23,7,174523.02,378,1,4,5,10,Loyal Customers
165,2026-04-22,8,195900.21,105,3,5,5,13,Champions
166,2026-05-12,6,100108.25,85,3,4,4,11,Loyal Customers
167,2025-08-26,1,306.25,344,1,1,1,3,Lost Customers
168,2026-07-05,7,149238.71,31,5,4,5,14,Champions
169,2026-06-03,6,69433.1,63,4,4,2,10,Loyal Customers
170,2026-06-12,5,67254.41,54,4,3,2,9,Potential Loyalists
171,2025-12-13,4,91236.98999999999,235,1,2,3,6,At Risk
172,2026-08-02,11,146390.42,3,5,5,5,15,Champions
173,2025-07-07,6,120815.98,394,1,4,4,9,Potential Loyalists
174,2026-07-12,4,37142.29,24,5,2,1,8,Potential Loyalists
175,2025-11-11,7,127610.11,267,1,4,4,9,Potential Loyalists
176,2026-03-02,5,98581.36,156,2,3,3,8,Potential Loyalists
177,2026-05-09,6,88431.61,88,3,4,3,10,Loyal Customers
178,2026-05-07,9,189521.91,90,3,5,5,13,Champions
179,2026-07-22,4,112691.28,14,5,2,4,11,Loyal Customers
180,2026-04-21,3,42458.64,106,3,1,1,5,Lost Customers
181,2026-06-25,5,78900.25,41,4,3,3,10,Loyal Customers
182,2026-07-07,11,205036.66,29,5,5,5,15,Champions
183,2025-08-16,4,75348.43,354,1,2,3,6,At Risk
184,2026-07-01,5,59372.42,35,4,3,2,9,Potential Loyalists
185,2026-06-29,7,100085.72,37,4,4,4,12,Loyal Customers
186,2026-02-24,4,122398.43,162,2,2,4,8,Potential Loyalists
187,2026-04-09,4,77156.52,118,3,2,3,8,Potential Loyalists
188,2026-03-30,5,66727.98999999999,128,3,3,2,8,Potential Loyalists
189,2026-04-25,7,134017.26,102,3,4,4,11,Loyal Customers
190,2026-07-25,3,49488.759999999995,11,5,1,2,8,Potential Loyalists
191,2026-03-06,6,105312.65,152,2,4,4,10,Loyal Customers
192,2026-06-23,6,141595.18,43,4,4,5,13,Champions
193,2026-04-29,7,69127.0,98,3,4,2,9,Potential Loyalists
195,2026-07-25,6,125320.46,11,5,4,4,13,Champions
196,2026-03-25,7,103900.56999999999,133,3,4,4,11,Loyal Customers
197,2026-03-26,4,67886.9,132,3,2,2,7,At Risk
198,2026-05-12,8,109091.32,85,3,5,4,12,Loyal Customers
199,2026-06-09,4,66619.48,57,4,2,2,8,Potential Loyalists
200,2026-04-17,7,72368.55,110,3,4,2,9,Potential Loyalists
201,2025-08-03,3,61221.93,367,1,1,2,4,Lost Customers
202,2025-07-06,4,91479.05,395,1,2,3,6,At Risk
203,2026-03-15,4,37961.13,143,2,2,1,5,Lost Customers
204,2026-05-19,4,61616.380000000005,78,3,2,2,7,At Risk
205,2026-07-02,10,180135.57,34,4,5,5,14,Champions
206,2025-11-15,4,58657.0,263,1,2,2,5,Lost Customers
207,2026-05-18,2,39788.119999999995,79,3,1,1,5,Lost Customers
208,2026-03-28,5,57988.0,130,3,3,2,8,Potential Loyalists
209,2026-03-19,3,72568.79,139,2,1,2,5,Lost Customers
210,2026-01-16,2,28419.6,201,2,1,1,4,Lost Customers
211,2026-07-10,7,219831.54,26,5,4,5,14,Champions
212,2026-05-25,5,55343.64,72,4,3,2,9,Potential Loyalists
213,2026-02-21,4,98395.68,165,2,2,3,7,At Risk
214,2026-05-05,5,103865.51,92,3,3,4,10,Loyal Customers
215,2026-06-06,8,152840.65,60,4,5,5,14,Champions
216,2026-02-28,6,110712.53,158,2,4,4,10,Loyal Customers
217,2026-07-09,5,90557.83,27,5,3,3,11,Loyal Customers
218,2026-04-03,8,156531.25,124,3,5,5,13,Champions
219,2026-05-30,3,55297.5,67,4,1,2,7,At Risk
220,2026-03-08,3,51491.53,150,2,1,2,5,Lost Customers
221,2026-03-07,1,11891.099999999999,151,2,1,1,4,Lost Customers
222,2026-03-30,4,79225.53,128,3,2,3,8,Potential Loyalists
223,2026-02-26,5,78468.39,160,2,3,3,8,Potential Loyalists
224,2025-12-15,7,163146.13,233,1,4,5,10,Loyal Customers
225,2026-06-23,7,147468.0,43,4,4,5,13,Champions
226,2026-03-31,8,155765.58000000002,127,3,5,5,13,Champions
227,2026-06-22,2,17937.3,44,4,1,1,6,At Risk
228,2026-04-24,6,65895.9,103,3,4,2,9,Potential Loyalists
229,2026-06-17,5,138798.56,49,4,3,5,12,Loyal Customers
230,2026-05-17,8,171014.03,80,3,5,5,13,Champions
231,2026-06-01,4,70222.43,65,4,2,2,8,Potential Loyalists
232,2026-05-29,5,69061.73,68,4,3,2,9,Potential Loyalists
233,2026-05-19,7,97687.75,78,3,4,3,10,Loyal Customers
234,2026-06-14,6,138303.79,52,4,4,5,13,Champions
235,2026-06-25,5,113189.89,41,4,3,4,11,Loyal Customers
236,2025-11-11,3,31956.2,267,1,1,1,3,Lost Customers
237,2026-03-28,3,42559.67,130,3,1,1,5,Lost Customers
238,2026-06-29,7,115972.09,37,4,4,4,12,Loyal Customers
239,2026-05-14,6,116851.93000000001,83,3,4,4,11,Loyal Customers
241,2026-07-05,8,184600.44,31,5,5,5,15,Champions
242,2026-07-08,4,19568.870000000003,28,5,2,1,8,Potential Loyalists
243,2026-07-31,5,58006.92,5,5,3,2,10,Loyal Customers
244,2026-04-26,4,38413.299999999996,101,3,2,1,6,At Risk
245,2025-11-11,4,55434.96,267,1,2,2,5,Lost Customers
246,2025-07-22,5,82849.84,379,1,3,3,7,At Risk
247,2026-05-23,5,76191.77,74,4,3,3,10,Loyal Customers
248,2026-07-17,4,56351.159999999996,19,5,2,2,9,Potential Loyalists
249,2026-01-25,8,114216.89,192,2,5,4,11,Loyal Customers
250,2026-01-11,4,104849.03,206,2,2,4,8,Potential Loyalists
251,2026-03-26,6,181537.23,132,3,4,5,12,Loyal Customers
252,2026-04-06,3,62716.009999999995,121,3,1,2,6,At Risk
253,2026-07-05,7,99092.06,31,5,4,3,12,Loyal Customers
254,2025-08-04,1,2713.27,366,1,1,1,3,Lost Customers
255,2026-06-24,3,67634.42,42,4,1,2,7,At Risk
256,2026-01-19,7,105996.78,198,2,4,4,10,Loyal Customers
257,2026-06-22,5,130113.96,44,4,3,4,11,Loyal Customers
258,2026-01-12,4,52286.37,205,2,2,2,6,At Risk
259,2026-03-12,2,30337.62,146,2,1,1,4,Lost Customers
260,2025-04-18,2,12127.210000000001,474,1,1,1,3,Lost Customers
261,2026-04-06,6,146775.73,121,3,4,5,12,Loyal Customers
262,2026-01-13,2,50124.44,204,2,1,2,5,Lost Customers
263,2026-05-30,2,77691.71,67,4,1,3,8,Potential Loyalists
264,2026-07-21,7,168246.97,15,5,4,5,14,Champions
265,2026-03-25,7,61368.46000000001,133,3,4,2,9,Potential Loyalists
266,2026-06-20,7,107540.20999999999,46,4,4,4,12,Loyal Customers
267,2026-07-19,7,121197.52,17,5,4,4,13,Champions
268,2026-02-02,6,126799.36,184,2,4,4,10,Loyal Customers
269,2026-08-03,9,207862.02,2,5,5,5,15,Champions
270,2025-07-07,3,42995.79,394,1,1,1,3,Lost Customers
271,2025-10-05,5,144471.28,304,1,3,5,9,Potential Loyalists
272,2026-07-06,3,38798.62,30,5,1,1,7,At Risk
273,2026-01-20,3,41347.4,197,2,1,1,4,Lost Customers
274,2026-05-31,5,90222.91,66,4,3,3,10,Loyal Customers
275,2026-05-29,7,131195.68,68,4,4,4,12,Loyal Customers
276,2026-05-25,9,145892.57,72,4,5,5,14,Champions
277,2025-02-20,2,33801.24,531,1,1,1,3,Lost Customers
278,2026-03-18,4,72224.77,140,2,2,2,6,At Risk
279,2025-01-06,1,6410.26,576,1,1,1,3,Lost Customers
280,2026-03-29,4,75044.18,129,3,2,3,8,Potential Loyalists
281,2025-08-02,5,104338.88,368,1,3,4,8,Potential Loyalists
282,2026-07-15,2,20682.36,21,5,1,1,7,At Risk
283,2026-07-09,11,240369.96,27,5,5,5,15,Champions
284,2026-04-28,4,67557.26000000001,99,3,2,2,7,At Risk
285,2026-05-05,7,179920.7,92,3,4,5,12,Loyal Customers
286,2025-07-19,1,13556.849999999999,382,1,1,1,3,Lost Customers
287,2026-04-27,5,165702.62,100,3,3,5,11,Loyal Customers
288,2026-07-17,7,59850.41,19,5,4,2,11,Loyal Customers
289,2026-01-18,7,123310.18,199,2,4,4,10,Loyal Customers
290,2026-02-06,5,124452.54000000001,180,2,3,4,9,Potential Loyalists
291,2026-06-06,4,63003.36,60,4,2,2,8,Potential Loyalists
292,2026-06-10,11,209703.56,56,4,5,5,14,Champions
293,2026-04-07,7,108400.67,120,3,4,4,11,Loyal Customers
294,2026-07-06,6,99084.65,30,5,4,3,12,Loyal Customers
295,2026-06-16,4,45647.84,50,4,2,1,7,At Risk
297,2026-06-19,7,111784.98000000001,47,4,5,4,13,Champions
298,2026-07-12,3,38054.1,24,5,1,1,7,At Risk
299,2026-07-14,6,137104.66,22,5,4,5,14,Champions
300,2026-02-09,6,137697.83,177,2,4,5,11,Loyal Customers
301,2025-12-25,4,62638.8,223,2,2,2,6,At Risk
302,2026-02-26,4,40332.66,160,2,2,1,5,Lost Customers
303,2026-07-04,3,48021.05,32,5,1,2,8,Potential Loyalists
304,2026-03-16,3,17523.85,142,2,1,1,4,Lost Customers
305,2025-04-21,2,7278.96,471,1,1,1,3,Lost Customers
306,2026-04-25,5,53880.83,102,3,3,2,8,Potential Loyalists
307,2026-06-16,8,177005.19,50,4,5,5,14,Champions
308,2026-07-25,7,103301.91,11,5,5,4,14,Champions
309,2025-10-08,4,22411.18,301,1,2,1,4,Lost Customers
310,2025-10-03,5,75410.53,306,1,3,3,7,At Risk
311,2026-06-13,9,232902.41,53,4,5,5,14,Champions
312,2026-01-10,3,75795.24,207,2,1,3,6,At Risk
313,2025-12-22,5,101097.8,226,2,3,4,9,Potential Loyalists
314,2025-10-12,4,85023.36,297,1,2,3,6,At Risk
315,2025-11-11,5,99896.49,267,1,3,3,7,At Risk
316,2025-08-12,3,83612.34,358,1,1,3,5,Lost Customers
317,2026-06-03,5,118543.95999999999,63,4,3,4,11,Loyal Customers
318,2025-07-15,3,22382.77,386,1,1,1,3,Lost Customers
319,2026-06-30,5,62288.10999999999,36,4,3,2,9,Potential Loyalists
320,2025-09-08,4,45919.979999999996,331,1,2,1,4,Lost Customers
321,2026-01-16,3,96975.72,201,2,1,3,6,At Risk
322,2026-06-26,7,128971.89,40,4,5,4,13,Champions
323,2026-08-02,5,66182.04000000001,3,5,3,2,10,Loyal Customers
324,2026-05-19,5,68219.3,78,3,3,2,8,Potential Loyalists
325,2026-03-23,3,41918.62,135,2,1,1,4,Lost Customers
326,2026-04-02,6,164368.49000000002,125,3,4,5,12,Loyal Customers
327,2026-06-13,7,84715.65000000001,53,4,5,3,12,Loyal Customers
328,2026-03-08,5,96969.9,150,2,3,3,8,Potential Loyalists
329,2026-05-25,6,108922.51999999999,72,4,4,4,12,Loyal Customers
330,2026-07-08,7,106444.44,28,5,5,4,14,Champions
331,2026-02-13,6,131877.53,173,2,4,4,10,Loyal Customers
332,2026-03-03,8,124814.17,155,2,5,4,11,Loyal Customers
333,2026-01-01,4,69185.72,216,2,2,2,6,At Risk
334,2025-11-08,2,40372.6,270,1,1,1,3,Lost Customers
335,2026-07-25,9,119412.95,11,5,5,4,14,Champions
336,2026-05-19,6,159604.78,78,3,4,5,12,Loyal Customers
337,2026-04-23,3,59672.310000000005,104,3,1,2,6,At Risk
338,2026-06-06,5,90722.45999999999,60,4,3,3,10,Loyal Customers
339,2026-07-18,9,150663.99,18,5,5,5,15,Champions
340,2026-04-16,8,158501.46,111,3,5,5,13,Champions
341,2026-04-15,1,36121.64,112,3,1,1,5,Lost Customers
342,2026-07-07,5,110590.36,29,5,3,4,12,Loyal Customers
343,2026-07-09,7,185407.52000000002,27,5,5,5,15,Champions
344,2024-11-12,1,42052.71,631,1,1,1,3,Lost Customers
345,2025-07-26,4,61270.58,375,1,2,2,5,Lost Customers
346,2026-07-25,3,42320.16,11,5,1,1,7,At Risk
347,2026-05-24,4,48819.43,73,4,2,2,8,Potential Loyalists
348,2026-06-13,4,84118.22,53,4,2,3,9,Potential Loyalists
349,2026-03-23,3,75188.65,135,2,1,3,6,At Risk
350,2025-03-25,4,61455.21,498,1,2,2,5,Lost Customers
351,2025-12-14,3,35234.340000000004,234,1,1,1,3,Lost Customers
352,2026-02-24,5,50753.12,162,2,3,2,7,At Risk
353,2026-07-18,5,95603.39,18,5,3,3,11,Loyal Customers
354,2026-06-01,4,97617.58,65,4,2,3,9,Potential Loyalists
355,2025-03-24,1,16372.0,499,1,1,1,3,Lost Customers
356,2026-05-05,3,34022.72,92,3,1,1,5,Lost Customers
357,2026-07-22,6,98124.99,14,5,4,3,12,Loyal Customers
358,2026-04-25,6,96834.0,102,3,4,3,10,Loyal Customers
359,2026-05-19,4,87969.61,78,3,2,3,8,Potential Loyalists
360,2025-01-20,2,37968.479999999996,562,1,1,1,3,Lost Customers
361,2026-05-13,5,97586.94,84,3,3,3,9,Potential Loyalists
362,2026-03-09,4,53523.899999999994,149,2,2,2,6,At Risk
363,2026-05-08,5,91742.83,89,3,3,3,9,Potential Loyalists
364,2026-05-22,3,26440.57,75,4,1,1,6,At Risk
365,2026-01-23,3,65252.35,194,2,1,2,5,Lost Customers
366,2026-03-29,5,68545.01,129,3,3,2,8,Potential Loyalists
367,2026-07-28,4,86847.2,8,5,2,3,10,Loyal Customers
368,2026-05-22,2,41565.94,75,4,1,1,6,At Risk
369,2026-03-25,5,134049.27,133,3,3,4,10,Loyal Customers
370,2026-07-29,2,26777.89,7,5,1,1,7,At Risk
371,2026-07-18,8,164619.3,18,5,5,5,15,Champions
372,2025-06-11,2,48520.68,420,1,1,2,4,Lost Customers
373,2026-06-22,10,243359.19,44,4,5,5,14,Champions
374,2026-05-22,4,90490.56,75,4,2,3,9,Potential Loyalists
375,2025-10-14,4,70428.45999999999,295,1,2,2,5,Lost Customers
376,2026-07-09,5,105176.39,27,5,3,4,12,Loyal Customers
377,2026-02-17,5,166927.88,169,2,3,5,10,Loyal Customers
378,2026-02-26,8,98502.57,160,2,5,3,10,Loyal Customers
379,2026-06-25,8,146853.38,41,4,5,5,14,Champions
380,2026-02-10,4,78998.07,176,2,2,3,7,At Risk
381,2026-05-19,2,21628.43,78,3,1,1,5,Lost Customers
382,2026-08-01,12,204340.29,4,5,5,5,15,Champions
383,2026-08-02,8,140131.74,3,5,5,5,15,Champions
384,2026-07-29,6,104960.76,7,5,4,4,13,Champions
385,2026-05-07,4,36328.43,90,3,2,1,6,At Risk
386,2026-07-17,6,99520.64,19,5,4,3,12,Loyal Customers
387,2025-12-15,6,61445.65,233,1,4,2,7,At Risk
388,2025-10-06,3,62495.83,303,1,1,2,4,Lost Customers
389,2025-04-24,3,67113.59999999999,468,1,1,2,4,Lost Customers
390,2026-03-30,5,106065.6,128,3,3,4,10,Loyal Customers
391,2026-08-03,7,133417.59,2,5,5,4,14,Champions
392,2026-01-30,8,175483.1,187,2,5,5,12,Loyal Customers
393,2026-03-14,6,73717.68000000001,144,2,4,2,8,Potential Loyalists
394,2025-07-30,1,2946.24,371,1,1,1,3,Lost Customers
395,2026-07-03,4,44425.04,33,4,2,1,7,At Risk
396,2025-11-16,4,130877.73999999999,262,1,2,4,7,At Risk
397,2025-08-12,7,184216.49,358,1,5,5,11,Loyal Customers
398,2025-12-26,7,93601.58,222,2,5,3,10,Loyal Customers
399,2026-06-25,5,90354.25,41,4,3,3,10,Loyal Customers
400,2025-08-04,6,126270.52,366,1,4,4,9,Potential Loyalists
401,2026-05-15,5,77108.76,82,3,3,3,9,Potential Loyalists
402,2026-02-28,2,41445.28,158,2,1,1,4,Lost Customers
403,2026-06-23,5,121453.85,43,4,3,4,11,Loyal Customers
404,2026-01-05,4,106384.07,212,2,2,4,8,Potential Loyalists
405,2026-07-26,6,111451.55,10,5,4,4,13,Champions
406,2026-07-18,6,206956.46,18,5,4,5,14,Champions
407,2026-03-19,4,105236.25,139,2,2,4,8,Potential Loyalists
408,2025-12-07,3,57224.35,241,1,1,2,4,Lost Customers
409,2026-08-03,8,137358.98,2,5,5,5,15,Champions
410,2026-07-27,3,9902.44,9,5,1,1,7,At Risk
411,2026-02-10,6,86457.89,176,2,4,3,9,Potential Loyalists
412,2026-05-26,6,168499.68,71,4,4,5,13,Champions
413,2026-01-13,8,139186.94,204,2,5,5,12,Loyal Customers
414,2025-09-08,3,78842.32,331,1,1,3,5,Lost Customers
415,2025-10-18,1,37942.66,291,1,1,1,3,Lost Customers
417,2026-03-21,3,44816.69,137,2,1,1,4,Lost Customers
418,2026-05-29,5,72719.74,68,4,3,2,9,Potential Loyalists
419,2026-04-08,8,114291.42,119,3,5,4,12,Loyal Customers
420,2026-05-21,4,84441.52,76,4,2,3,9,Potential Loyalists
421,2026-03-08,5,72959.38,150,2,3,2,7,At Risk
422,2026-07-30,5,94551.33,6,5,3,3,11,Loyal Customers
423,2026-06-05,3,74013.51000000001,61,4,1,2,7,At Risk
424,2026-08-02,4,74486.65,3,5,2,2,9,Potential Loyalists
